Face
4
4
4
4
4
4
3
3
4
4
0
3
3
3
5
4
3
3
4
4
4
4
4
4
4
4
4
4
4
4
3
4
4
4
4
0
6
0
4
4
4
0
0
4
5
4
4
4
4
4
4
4
0
5
4
4
0
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
